comp_id,event,j1_name,j2_name,j3_name,j4_name,j5_name,j6_name,j7_name,j8_name,j9_name,j1_nat,j2_nat,j3_nat,j4_nat,j5_nat,j6_nat,j7_nat,j8_nat,j9_nat
WC_1011,MEN_SP,Lovorka KODRIN,Senem AHISKAL,Beatrice PFISTER,Paula M NAUGHTON,Diana STEVENS,Daniel DELFA,Seppo KURTTI,Maria MILLER,Julia ANDREEVA,CRO,TUR,SUI,USA,GBR,ESP,ISU,ISU,RUS
GPF_1415,MEN_FS,Joseph INMAN,Yukiko OKABE,Jarmila PORTOVA,Allan BOEHM,Marta OLOZAGARRE,Jung-Sue LEE,Susan HEFFERNAN,Yumin WANG,Julia ANDREEVA,USA,JPN,CZE,SVK,ESP,KOR,CAN,CHN,RUS
GPCHN_1011,LADIES_SP,Janice HUNTER,Robert ROSENBLUTH,Nobuhiko YOSHIOKA,Evgeni ROKHIN,Philippe MERIGUET,Hailan JIANG,Peter LEVIN,You-Hwa LEE,Julia ANDREEVA,CAN,USA,JPN,UZB,FRA,CHN,SWE,KOR,RUS
GPFRA_1617,MEN_FS,Francoise DE RAPPARD,Masako KUBOTA,Yuri GUSKOV,Saodat NUMANOVA,Elisabeth LOUESDON,Daniel DELFA,Massimo ORLANDINI,Olga KOZHEMYAKINA,Steve WINKLER,BEL,JPN,KAZ,UZB,FRA,ESP,ITA,RUS,USA
GPFRA_1920,MEN_SP,Salome CHIGOGIDZE,Deveny DECK,Natasa SKOK,Janice HUNTER,Kerstin KIMMINUS,Philippe MERIGUET,Alexei BELETSKI,Olga KOZHEMYAKINA,Nobuhiko YOSHIOKA,GEO,USA,SLO,CAN,GER,FRA,ISR,RUS,JPN
GPFRA_1920,MEN_FS,Salome CHIGOGIDZE,Deveny DECK,Natasa SKOK,Janice HUNTER,Kerstin KIMMINUS,Philippe MERIGUET,Alexei BELETSKI,Olga KOZHEMYAKINA,Nobuhiko YOSHIOKA,GEO,USA,SLO,CAN,GER,FRA,ISR,RUS,JPN
GPCHN_1011,LADIES_FS,Julia ANDREEVA,Robert ROSENBLUTH,Janice HUNTER,Evgeni ROKHIN,Philippe MERIGUET,Peter LEVIN,Hailan JIANG,You-Hwa LEE,Nobuhiko YOSHIOKA,RUS,USA,CAN,UZB,FRA,SWE,CHN,KOR,JPN
GPCHN_1011,MEN_SP,Philippe MERIGUET,Susan BLATZ,Sviatoslav BABENKO,Robert ROSENBLUTH,Vera TAUCHMANOVA,Claudia BRAMBATI,Guangying QIN,Hea-Kyung KIM,Nobuhiko YOSHIOKA,FRA,CAN,RUS,USA,CZE,ITA,CHN,KOR,JPN
GPFRA_1415,MEN_FS,Vera TAUCHMANOVA,Ayumi KOZUKA,Joyce D KOMPERDA,Yuri GUSKOV,Claire SHEPHERD,Francoise DE RAPPARD,Hailan JIANG,Olga KOZHEMYAKINA,Helene CUCUPHAT,CZE,JPN,USA,KAZ,GBR,BEL,CHN,RUS,FRA
GPRUS_1011,MEN_FS,Vladislav PETUKHOV,Daniel DELFA,Olga KOZHEMYAKINA,Benoit LAVOIE,Richard KOSINA,Masako KUBOTA,Tiziana MORANDI,Anne CAMMETT,Helene CUCUPHAT,UKR,ESP,RUS,CAN,CZE,JPN,ITA,USA,FRA
