element,comp_id,skater_fullname,event,bv,goe,edge_call,underrotated,downgraded,invalid,other_error,num_jump_errors,num_quads,num_triples,num_doubles,date
4T+3T,WC_1011,Patrick CHAN,MEN_SP,14.40,1.86,0,0,0,0,0,0,1,1,0,2011-04-25
3A,WC_1011,Patrick CHAN,MEN_SP,8.50,1.86,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Patrick CHAN,MEN_SP,5.30,1.50,0,0,0,0,0,0,0,1,0,2011-04-25
4T,WC_1011,Nobunari ODA,MEN_SP,10.30,-2.43,0,0,0,0,0,0,1,0,0,2011-04-25
3A,WC_1011,Nobunari ODA,MEN_SP,8.50,2.00,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Nobunari ODA,MEN_SP,10.10,1.00,0,0,0,0,0,0,0,2,0,2011-04-25
3F+3T,WC_1011,Daisuke TAKAHASHI,MEN_SP,9.40,-0.10,1,0,0,0,0,1,0,2,0,2011-04-25
3A,WC_1011,Daisuke TAKAHASHI,MEN_SP,8.50,0.57,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz,WC_1011,Daisuke TAKAHASHI,MEN_SP,6.00,0.90,0,0,0,0,0,0,0,1,0,2011-04-25
4T+3T,WC_1011,Artur GACHINSKI,MEN_SP,14.40,1.57,0,0,0,0,0,0,1,1,0,2011-04-25
3A,WC_1011,Artur GACHINSKI,MEN_SP,8.50,0.43,0,0,0,0,0,0,0,1,0,2011-04-25
3Lo,WC_1011,Artur GACHINSKI,MEN_SP,5.10,-1.30,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Florent AMODIO,MEN_SP,8.50,1.86,0,0,0,0,0,0,0,1,0,2011-04-25
3Lz+3T,WC_1011,Florent AMODIO,MEN_SP,10.10,0.80,0,0,0,0,0,0,0,2,0,2011-04-25
3F,WC_1011,Florent AMODIO,MEN_SP,5.30,-0.70,1,0,0,0,0,1,0,1,0,2011-04-25
3Lz+3T,WC_1011,Takahiko KOZUKA,MEN_SP,10.10,1.30,0,0,0,0,0,0,0,2,0,2011-04-25
3A,WC_1011,Takahiko KOZUKA,MEN_SP,8.50,-1.86,0,0,0,0,0,0,0,1,0,2011-04-25
3F,WC_1011,Takahiko KOZUKA,MEN_SP,5.30,0.70,0,0,0,0,0,0,0,1,0,2011-04-25
3A,WC_1011,Michal BREZINA,MEN_SP,8.50,1.71,0,0,0,0,0,0,0,1,0,2011-04-25
3F+3T,WC_1011,Michal BREZINA,MEN_SP,9.40,-0.20,0,0,0,0,0,0,0,2,0,2011-04-25
3Lz,WC_1011,Michal BREZINA,MEN_SP,6.00,0.40,0,0,0,0,0,0,0,1,0,2011-04-25
4T,WC_1011,Tomas VERNER,MEN_SP,10.30,-3.00,0,0,0,0,0,0,1,0,0,2011-04-25
3A,WC_1011,Tomas VERNER,MEN_SP,8.50,0.14,0,0,0,0,0,0,0,1,0,2011-04-25
