comp_id,skater_fullname,skater_nat,gender,bv,num_quads,num_triples,num_doubles,num_jump_errors,num_spin_errors,judge_nat,judge_tes,judge_pcs,judge_total
WC_1617,Evgenia MEDVEDEVA,RUS,F,33.1,0,3,1,0,0,FRA,40.3,37.0,77.3
WC_1617,Kaetlyn OSMOND,CAN,F,32.53,0,3,1,0,0,FRA,39.53,32.8,72.33
WC_1617,Gabrielle DALEMAN,CAN,F,31.83,0,3,1,0,0,FRA,38.33,32.2,70.53
WC_1617,Anna POGORILAYA,RUS,F,32.84,0,3,1,0,0,FRA,36.24,33.8,70.03999999999999
WC_1617,Karen CHEN,USA,F,32.24,0,3,1,0,0,FRA,38.84,30.4,69.24000000000001
WC_1617,Maria SOTSKOVA,RUS,F,33.06,0,3,1,0,0,FRA,35.76,30.4,66.16
WC_1617,Ashley WAGNER,USA,F,31.34,0,3,1,0,0,FRA,34.74,34.2,68.94
WC_1617,Carolina KOSTNER,ITA,F,29.53,0,3,1,0,0,FRA,31.73,35.0,66.73
WC_1617,Wakaba HIGUCHI,JPN,F,33.36,0,3,1,0,0,FRA,35.56,28.8,64.36
WC_1617,Elizabet TURSYNBAEVA,KAZ,F,32.84,0,3,1,0,0,FRA,38.64,30.4,69.03999999999999
WC_1617,Dabin CHOI,KOR,F,32.46,0,3,1,0,0,FRA,34.46,26.0,60.46
WC_1617,Rika HONGO,JPN,F,29.96,0,3,1,1,0,FRA,30.06,26.8,56.86
WC_1617,Mariah BELL,USA,F,31.16,0,3,1,1,0,FRA,32.46,29.4,61.86
WC_1617,Ivett TOTH,HUN,F,31.53,0,3,1,0,0,FRA,34.23,29.4,63.629999999999995
WC_1617,Mai MIHARA,JPN,F,26.43,0,2,2,1,0,FRA,30.63,30.2,60.83
WC_1617,Xiangning LI,CHN,F,30.63,0,3,1,1,0,FRA,33.93,24.8,58.730000000000004
WC_1617,Loena HENDRICKX,BEL,F,28.4,0,2,2,0,0,FRA,29.7,26.2,55.9
WC_1617,Nicole RAJICOVA,SVK,F,29.03,0,2,2,0,0,FRA,30.53,26.4,56.93
WC_1617,Kailani CRAINE,AUS,F,28.34,0,2,2,0,0,FRA,32.04,24.4,56.44
WC_1617,Zijun LI,CHN,F,28.93,0,3,1,1,0,FRA,29.33,27.6,56.93
WC_1617,Angelina KUCHVALSKA,LAT,F,28.13,0,3,1,1,0,FRA,27.23,25.6,52.83
WC_1617,Laurine LECAVELIER,FRA,F,30.34,0,3,1,1,0,FRA,30.44,29.8,60.24
WC_1617,Anastasia GALUSTYAN,ARM,F,28.93,0,2,2,1,0,FRA,30.73,25.4,56.129999999999995
WC_1617,Nicole SCHOTT,GER,F,30.03,0,3,1,0,0,FRA,29.63,25.8,55.43
WC_1617,Shuran YU,SGP,F,28.93,0,3,1,0,0,FRA,29.83,21.2,51.03
WC_1617,Joshi HELGESSON,SWE,F,27.53,0,2,2,0,0,FRA,27.93,26.4,54.33
WC_1617,Helery HAELVIN,EST,F,28.03,0,2,2,0,0,FRA,28.53,24.0,52.53
WC_1617,Amy LIN,TPE,F,27.53,0,2,2,0,0,FRA,28.13,23.4,51.53
WC_1617,Emmi PELTONEN,FIN,F,22.9,0,2,1,1,0,FRA,24.5,24.2,48.7
WC_1617,Isadora WILLIAMS,BRA,F,27.9,0,2,2,0,0,FRA,29.1,23.6,52.7
WC_1617,Kerstin FRANK,AUT,F,27.36,0,2,2,0,0,FRA,28.86,23.2,52.06
WC_1617,Natasha MCKAY,GBR,F,23.6,0,2,2,0,0,FRA,25.6,22.0,47.6
WC_1617,Yasmine Kimiko YAMADA,SUI,F,27.39,0,3,1,1,0,FRA,26.09,20.6,46.69
WC_1617,Anne Line GJERSEM,NOR,F,28.23,0,3,1,1,0,FRA,26.23,20.6,46.83
WC_1617,Anna KHNYCHENKOVA,UKR,F,28.6,0,2,2,0,0,FRA,26.3,21.0,47.3
WC_1617,Dasa GRM,SLO,F,25.96,0,2,2,1,0,FRA,25.26,22.2,47.46
WC_1617,Michaela-Lucie HANZLIKOVA,CZE,F,20.03,0,2,1,3,0,FRA,16.83,20.6,37.43
WC_1617,Evgenia MEDVEDEVA,RUS,F,62.33,0,7,4,0,0,LAT,79.43,76.8,156.23000000000002
WC_1617,Kaetlyn OSMOND,CAN,F,57.89,0,6,5,0,0,LAT,73.29,72.0,145.29000000000002
WC_1617,Gabrielle DALEMAN,CAN,F,59.78,0,7,4,0,0,LAT,73.38,70.8,144.18
WC_1617,Mai MIHARA,JPN,F,63.02,0,7,4,0,0,LAT,75.62,61.2,136.82
WC_1617,Carolina KOSTNER,ITA,F,51.16,0,5,4,0,0,LAT,62.36,74.0,136.36
WC_1617,Karen CHEN,USA,F,59.05,0,7,3,1,0,LAT,66.45,60.4,126.85
WC_1617,Dabin CHOI,KOR,F,61.99,0,7,4,0,0,LAT,68.19,54.0,122.19
WC_1617,Elizabet TURSYNBAEVA,KAZ,F,62.82,0,7,4,0,0,LAT,69.92,58.4,128.32
WC_1617,Mariah BELL,USA,F,59.0,0,6,4,0,0,LAT,65.9,58.4,124.30000000000001
WC_1617,Ashley WAGNER,USA,F,52.87,0,6,3,3,0,LAT,57.77,66.4,124.17000000000002
WC_1617,Maria SOTSKOVA,RUS,F,52.79,0,6,4,2,0,LAT,59.99,67.6,127.59
WC_1617,Wakaba HIGUCHI,JPN,F,55.04,0,6,5,1,0,LAT,61.24,59.2,120.44
WC_1617,Xiangning LI,CHN,F,58.7,0,7,3,1,0,LAT,62.4,53.2,115.6
