element,comp_id,skater_fullname,event,bv,goe,failed_req,invalid,num_spin_errors,date
CCoSp4,WC_1011,Patrick CHAN,MEN_SP,3.50,0.93,0,0,0,2011-04-25
FSSp4,WC_1011,Patrick CHAN,MEN_SP,3.00,1.00,0,0,0,2011-04-25
CCSp3,WC_1011,Patrick CHAN,MEN_SP,2.80,0.64,0,0,0,2011-04-25
FCSp4,WC_1011,Nobunari ODA,MEN_SP,3.20,0.36,0,0,0,2011-04-25
CCoSp2,WC_1011,Nobunari ODA,MEN_SP,2.50,0.86,0,0,0,2011-04-25
CSSp4,WC_1011,Nobunari ODA,MEN_SP,3.00,0.71,0,0,0,2011-04-25
FUSp3,WC_1011,Daisuke TAKAHASHI,MEN_SP,2.40,0.50,0,0,0,2011-04-25
CCSp3,WC_1011,Daisuke TAKAHASHI,MEN_SP,2.80,0.21,0,0,0,2011-04-25
CCoSp3,WC_1011,Daisuke TAKAHASHI,MEN_SP,3.00,0.71,0,0,0,2011-04-25
CSSp4,WC_1011,Artur GACHINSKI,MEN_SP,3.00,0.43,0,0,0,2011-04-25
FCSp3,WC_1011,Artur GACHINSKI,MEN_SP,2.80,0.50,0,0,0,2011-04-25
CCoSp2,WC_1011,Artur GACHINSKI,MEN_SP,2.50,0.43,0,0,0,2011-04-25
FCSp3,WC_1011,Florent AMODIO,MEN_SP,2.80,0.36,0,0,0,2011-04-25
CCoSp4,WC_1011,Florent AMODIO,MEN_SP,3.50,0.71,0,0,0,2011-04-25
CSSp4,WC_1011,Florent AMODIO,MEN_SP,3.00,0.79,0,0,0,2011-04-25
FSSp4,WC_1011,Takahiko KOZUKA,MEN_SP,3.00,0.64,0,0,0,2011-04-25
CCSp4,WC_1011,Takahiko KOZUKA,MEN_SP,3.20,0.29,0,0,0,2011-04-25
CCoSp4,WC_1011,Takahiko KOZUKA,MEN_SP,3.50,0.93,0,0,0,2011-04-25
FSSp4,WC_1011,Michal BREZINA,MEN_SP,3.00,0.50,0,0,0,2011-04-25
CCSp4,WC_1011,Michal BREZINA,MEN_SP,3.20,0.43,0,0,0,2011-04-25
CCoSp4,WC_1011,Michal BREZINA,MEN_SP,3.50,0.50,0,0,0,2011-04-25
FUSp4,WC_1011,Tomas VERNER,MEN_SP,2.90,0.29,0,0,0,2011-04-25
CCoSp3,WC_1011,Tomas VERNER,MEN_SP,3.00,0.64,0,0,0,2011-04-25
CSSp4,WC_1011,Tomas VERNER,MEN_SP,3.00,0.64,0,0,0,2011-04-25
FUSp3,WC_1011,Brian JOUBERT,MEN_SP,2.40,0.14,0,0,0,2011-04-25
CCoSp3,WC_1011,Brian JOUBERT,MEN_SP,3.00,0.43,0,0,0,2011-04-25
CSSp4,WC_1011,Brian JOUBERT,MEN_SP,3.00,0.64,0,0,0,2011-04-25
